Colour convertions from Jordi et al. (2010) A&A 523 A48

 Teff   g   M/H  G-Gbp    G-Grp   Gbp-Grp G-V     V-Ic    V-Rc    B-V    Gbp-V    Gbp-Ic  Grp-V   Grp-Ic   g-r     r-i     G-g     G-r     G-i     G-z     BC G    BC Gbp  BC Grp
 3350 -0.5 -2.0  -1.507   1.230   2.737  -1.254   2.644   1.314   2.533   0.253   2.897  -2.484   0.160    2.259   1.041  -2.684  -0.425   0.616   1.414  -1.492  -2.999  -0.262
 3350 -0.3 -2.0  -1.436   1.205   2.641  -1.170   2.531   1.259   2.478   0.266   2.797  -2.375   0.156    2.183   0.983  -2.557  -0.374   0.609   1.367  -1.425  -2.861  -0.220
 3350  0.0 -2.0  -1.344   1.170   2.514  -1.061   2.381   1.187   2.407   0.283   2.664  -2.231   0.150    2.084   0.904  -2.392  -0.308   0.596   1.301  -1.334  -2.678  -0.164
 3350  0.3 -2.0  -1.268   1.139   2.407  -0.970   2.252   1.124   2.343   0.298   2.550  -2.109   0.143    1.995   0.840  -2.252  -0.257   0.583   1.243  -1.255  -2.523  -0.116
 3350  0.6 -2.0  -1.207   1.114   2.321  -0.898   2.151   1.069   2.278   0.309   2.460  -2.012   0.139    1.911   0.791  -2.133  -0.222   0.569   1.200  -1.188  -2.395  -0.074
 3350  4.0 -2.0  -1.038   1.014   2.052  -0.817   2.023   1.107   1.997   0.221   2.244  -1.831   0.192    2.066   0.638  -2.095  -0.029   0.609   0.898  -0.306  -1.344   0.709
 3350  5.0 -2.0  -1.020   1.014   2.034  -0.784   2.023   1.059   1.997   0.236   2.259  -1.798   0.225    2.052   0.652  -2.083  -0.031   0.621   0.905  -0.280  -1.300   0.735
 3500 -0.5 -2.0  -1.020   1.014   2.034  -0.784   2.023   1.059   1.997   0.236   2.259  -1.798   0.225    2.052   0.652  -2.083  -0.031   0.621   0.905  -0.470  -1.490   0.544
 3500 -0.3 -2.0  -1.578   1.250   2.828  -1.334   2.744   1.350   2.280   0.244   2.988  -2.584   0.160    2.084   1.143  -2.601  -0.517   0.626   1.457  -1.486  -3.065  -0.236
 3500  0.0 -2.0  -1.495   1.224   2.719  -1.235   2.615   1.280   2.216   0.260   2.875  -2.459   0.156    1.991   1.080  -2.453  -0.462   0.618   1.408  -1.424  -2.919  -0.199
 3500  0.3 -2.0  -1.417   1.198   2.615  -1.143   2.493   1.215   2.154   0.274   2.767  -2.341   0.152    1.902   1.019  -2.313  -0.411   0.608   1.360  -1.362  -2.779  -0.164
 3500  0.6 -2.0  -1.346   1.174   2.520  -1.062   2.385   1.150   2.055   0.284   2.669  -2.236   0.149    1.791   0.969  -2.166  -0.375   0.594   1.321  -1.305  -2.650  -0.131
 3500  0.9 -2.0  -1.286   1.153   2.439  -0.994   2.294   1.094   1.972   0.292   2.586  -2.147   0.147    1.696   0.927  -2.042  -0.346   0.581   1.287  -1.256  -2.541  -0.103
 3500  4.0 -2.0  -0.853   0.895   1.748  -0.620   1.651   0.992   1.830   0.233   1.884  -1.515   0.136    1.866   0.434  -1.765   0.101   0.535   0.635  -0.080  -0.933   0.815
 3500  5.0 -2.0  -0.831   0.892   1.723  -0.590   1.655   0.949   1.827   0.241   1.896  -1.482   0.173    1.862   0.426  -1.752   0.110   0.536   0.653  -0.071  -0.902   0.821
 3750 -0.3 -2.0  -0.831   0.892   1.723  -0.590   1.655   0.949   1.827   0.241   1.896  -1.482   0.173    1.862   0.426  -1.752   0.110   0.536   0.653  -0.371  -1.202   0.521
